18:17:48.656466 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:48.656695 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:49.143852 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:49.143877 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:49.164367 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:49.164780 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:49.165048 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:49.165203 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:49.349879 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:49.350067 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:49.376356 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:49.376385 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:49.376444 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:49.376511 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:49.376673 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:49.376694 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:49.402525 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:49.402866 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:49.651141 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:49.651478 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:49.672750 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:49.672906 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:49.673019 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:49.673229 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:50.160150 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:50.160493 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:50.181671 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:50.181844 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:50.181975 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:50.182137 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:50.668365 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:50.668932 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:50.689366 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:50.689608 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:50.689763 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:50.689907 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:51.176333 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:51.177085 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:51.197526 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:51.197788 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:51.197986 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:51.198135 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:51.683332 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:51.685452 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:51.704893 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:51.705197 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:51.711547 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:52.193546 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:52.193997 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:52.214439 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:52.214833 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:52.215005 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:52.215149 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:52.701522 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:52.704011 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:52.723382 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:52.723546 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:52.730331 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:53.208930 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:53.209110 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:53.230302 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:53.230482 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:53.230658 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:53.230727 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:53.717099 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:53.717302 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:53.738737 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:53.738744 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:53.738943 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:53.738951 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:54.225555 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:54.226480 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:54.247169 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:54.247543 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:54.247992 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:54.248168 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:54.332529 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:54.353819 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:54.354943 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:54.355128 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:54.379888 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
