18:17:47.643348 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:47.643457 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:47.643615 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:48.059485 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:48.059835 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:48.086417 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:48.086645 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:48.086889 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:48.086974 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:48.087110 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:48.125117 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:48.125362 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:48.146690 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:48.146844 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:48.147071 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:48.635032 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:48.635405 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:48.656054 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:48.656298 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:48.656424 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:48.656726 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:49.143838 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:49.143881 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:49.164419 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:49.164743 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:49.165030 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:49.165236 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:49.349926 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:49.350033 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:49.376336 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:49.376380 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
